"","SampleID","sampletype","location","filtertype","region","datatype","boat","study","transit","position"
"76","NOF13post","openwater","Norfolk","post","East","openwater",NA,"DARPA",NA,NA
"77","NOF14","openwater","Norfolk","pre","East","openwater",NA,"DARPA",NA,NA
"78","NOF14post","openwater","Norfolk","post","East","openwater",NA,"DARPA",NA,NA
"79","NOF15","openwater","Norfolk","pre","East","openwater",NA,"DARPA",NA,NA
"80","NOF15post","openwater","Norfolk","post","East","openwater",NA,"DARPA",NA,NA
"81","NOF16","openwater","Norfolk","pre","East","openwater",NA,"DARPA",NA,NA
"82","NOF16post","openwater","Norfolk","post","East","openwater",NA,"DARPA",NA,NA
"83","NOF17","openwater","Norfolk","pre","East","openwater",NA,"DARPA",NA,NA
"84","NOF17post","openwater","Norfolk","post","East","openwater",NA,"DARPA",NA,NA
"85","NOF18","openwater","Norfolk","pre","East","openwater",NA,"DARPA",NA,NA
"86","NOF18post","openwater","Norfolk","post","East","openwater",NA,"DARPA",NA,NA
"87","NOF19","openwater","Norfolk","pre","East","openwater",NA,"DARPA",NA,NA
"88","NOF19post","openwater","Norfolk","post","East","openwater",NA,"DARPA",NA,NA
"89","NOF1post","openwater","Norfolk","post","East","openwater",NA,"DARPA",NA,NA
"90","NOF1swab","swab","Norfolk","pre","East","boatsample",NA,"DARPA",NA,NA
"91","NOF2","openwater","Norfolk","pre","East","openwater",NA,"DARPA",NA,NA
"92","NOF20","openwater","Norfolk","pre","East","openwater",NA,"DARPA",NA,NA
"93","NOF20post","openwater","Norfolk","post","East","openwater",NA,"DARPA",NA,NA
"94","NOF21","openwater","Norfolk","pre","East","openwater",NA,"DARPA",NA,NA
"95","NOF21post","openwater","Norfolk","post","East","openwater",NA,"DARPA",NA,NA
"96","NOF22","openwater","Norfolk","pre","East","openwater",NA,"DARPA",NA,NA
"97","NOF22post","openwater","Norfolk","post","East","openwater",NA,"DARPA",NA,NA
"98","NOF23","openwater","Norfolk","pre","East","openwater",NA,"DARPA",NA,NA
"99","NOF23post","openwater","Norfolk","post","East","openwater",NA,"DARPA",NA,NA
"100","NOF24","openwater","Norfolk","pre","East","openwater",NA,"DARPA",NA,NA
"101","NOF24post","openwater","Norfolk","post","East","openwater",NA,"DARPA",NA,NA
"102","NOF25","openwater","Norfolk","pre","East","openwater",NA,"DARPA",NA,NA
"103","NOF25post","openwater","Norfolk","post","East","openwater",NA,"DARPA",NA,NA
"104","NOF26","openwater","Norfolk","pre","East","openwater",NA,"DARPA",NA,NA
"105","NOF26post","openwater","Norfolk","post","East","openwater",NA,"DARPA",NA,NA
"106","NOF27","openwater","Norfolk","pre","East","openwater",NA,"DARPA",NA,NA
"107","NOF27post","openwater","Norfolk","post","East","openwater",NA,"DARPA",NA,NA
"108","NOF28","openwater","Norfolk","pre","East","openwater",NA,"DARPA",NA,NA
"109","NOF28post","openwater","Norfolk","post","East","openwater",NA,"DARPA",NA,NA
"110","NOF29","openwater","Norfolk","pre","East","openwater",NA,"DARPA",NA,NA
"111","NOF29post","openwater","Norfolk","post","East","openwater",NA,"DARPA",NA,NA
"112","NOF2post","openwater","Norfolk","post","East","openwater",NA,"DARPA",NA,NA
"113","NOF2swab","swab","Norfolk","pre","East","boatsample",NA,"DARPA",NA,NA
"114","NOF3","openwater","Norfolk","pre","East","openwater",NA,"DARPA",NA,NA
"115","NOF30","openwater","Norfolk","pre","East","openwater",NA,"DARPA",NA,NA
"116","NOF30post","openwater","Norfolk","post","East","openwater",NA,"DARPA",NA,NA
"117","NOF3post","openwater","Norfolk","post","East","openwater",NA,"DARPA",NA,NA
"118","NOF3swab","swab","Norfolk","pre","East","boatsample",NA,"DARPA",NA,NA
"119","NOF4","openwater","Norfolk","pre","East","openwater",NA,"DARPA",NA,NA
"120","NOF4post","openwater","Norfolk","post","East","openwater",NA,"DARPA",NA,NA
"121","NOF4swab","swab","Norfolk","pre","East","boatsample",NA,"DARPA",NA,NA
"122","NOF5","openwater","Norfolk","pre","East","openwater",NA,"DARPA",NA,NA
"123","NOF5post","openwater","Norfolk","post","East","openwater",NA,"DARPA",NA,NA
"124","NOF5swab","swab","Norfolk","pre","East","boatsample",NA,"DARPA",NA,NA
"125","NOF6","openwater","Norfolk","pre","East","openwater",NA,"DARPA",NA,NA
"126","NOF6post","openwater","Norfolk","post","East","openwater",NA,"DARPA",NA,NA
"127","NOF6swab","swab","Norfolk","pre","East","boatsample",NA,"DARPA",NA,NA
"128","NOF7","openwater","Norfolk","pre","East","openwater",NA,"DARPA",NA,NA
"129","NOF7post","openwater","Norfolk","post","East","openwater",NA,"DARPA",NA,NA
"130","NOF7swab","swab","Norfolk","pre","East","boatsample",NA,"DARPA",NA,NA
"131","NOF8","openwater","Norfolk","pre","East","openwater",NA,"DARPA",NA,NA
"132","NOF8post","openwater","Norfolk","post","East","openwater",NA,"DARPA",NA,NA
"133","NOF8swab","swab","Norfolk","pre","East","boatsample",NA,"DARPA",NA,NA
"134","NOF9","openwater","Norfolk","pre","East","openwater",NA,"DARPA",NA,NA
"135","c10t1bf","bilgebiofilm","Baltimore","nonfilter",NA,NA,NA,"ChesapeakeBay","one",10
"136","c10t1bw","bilgewater","Baltimore","nonfilter",NA,NA,NA,"ChesapeakeBay","one",10
"137","c10t1hull","hull","Baltimore","nonfilter",NA,NA,"Callinectes","ChesapeakeBay","one",10
"138","c10t1post","openwater","Baltimore","post",NA,NA,NA,"ChesapeakeBay","one",10
"139","c10t1rear","rear","Baltimore","nonfilter",NA,NA,NA,"ChesapeakeBay","one",10
