sampleid,sample_type,study,transit,swab_type,filter_type,location,boat,time,collection_order
c15t1post,openwater,ChesapeakeBay,one,nonswab,post,Baltimore,Callinectes,NA,transit1_15
c15t1pre,openwater,ChesapeakeBay,one,nonswab,pre,Baltimore,Callinectes,NA,transit1_15
c15t1rear,boat,ChesapeakeBay,one,rear,nonfilter,Baltimore,Callinectes,NA,transit1_15
c15t2bf,boat,ChesapeakeBay,two,bilgebiofilm,nonfilter,Norfolk,Callinectes,NA,transit2_8
c15t2bw,boat,ChesapeakeBay,two,bilgewater,nonfilter,Norfolk,Callinectes,NA,transit2_8
c15t2hull,boat,ChesapeakeBay,two,hull,nonfilter,Norfolk,Callinectes,NA,transit2_8
c15t2post,openwater,ChesapeakeBay,two,nonswab,post,Norfolk,Callinectes,NA,transit2_8
c15t2pre,openwater,ChesapeakeBay,two,nonswab,pre,Norfolk,Callinectes,NA,transit2_8
c15t2rear,boat,ChesapeakeBay,two,rear,nonfilter,Norfolk,Callinectes,NA,transit2_8
c15t3bf,boat,ChesapeakeBay,three,bilgebiofilm,nonfilter,Baltimore,Lookdown,NA,transit3_15
c15t3bw,boat,ChesapeakeBay,three,bilgewater,nonfilter,Baltimore,Lookdown,NA,transit3_15
c15t3hull,boat,ChesapeakeBay,three,hull,nonfilter,Baltimore,Lookdown,NA,transit3_15
c15t3post,openwater,ChesapeakeBay,three,nonswab,post,Baltimore,Lookdown,NA,transit3_15
c15t3pre,openwater,ChesapeakeBay,three,nonswab,pre,Baltimore,Lookdown,NA,transit3_15
c15t3rear,boat,ChesapeakeBay,three,rear,nonfilter,Baltimore,Lookdown,NA,transit3_15
c15t4bf,boat,ChesapeakeBay,four,bilgebiofilm,nonfilter,Norfolk,Lookdown,NA,transit4_8
c15t4bw,boat,ChesapeakeBay,four,bilgewater,nonfilter,Norfolk,Lookdown,NA,transit4_8
c15t4hull,boat,ChesapeakeBay,four,hull,nonfilter,Norfolk,Lookdown,NA,transit4_8
c15t4post,openwater,ChesapeakeBay,four,nonswab,post,Norfolk,Lookdown,NA,transit4_8
c15t4pre,openwater,ChesapeakeBay,four,nonswab,pre,Norfolk,Lookdown,NA,transit4_8
c15t4rear,boat,ChesapeakeBay,four,rear,nonfilter,Norfolk,Lookdown,NA,transit4_8
c16t1bf,boat,ChesapeakeBay,one,bilgebiofilm,nonfilter,Baltimore,Callinectes,NA,transit1_16
c16t1bw,boat,ChesapeakeBay,one,bilgewater,nonfilter,Baltimore,Callinectes,NA,transit1_16
c16t1hull,boat,ChesapeakeBay,one,hull,nonfilter,Baltimore,Callinectes,NA,transit1_16
c16t1post,openwater,ChesapeakeBay,one,nonswab,post,Baltimore,Callinectes,NA,transit1_16
c16t1pre,openwater,ChesapeakeBay,one,nonswab,pre,Baltimore,Callinectes,NA,transit1_16
c16t1rear,boat,ChesapeakeBay,one,rear,nonfilter,Baltimore,Callinectes,NA,transit1_16
c16t3bf,boat,ChesapeakeBay,three,bilgebiofilm,nonfilter,Baltimore,Lookdown,NA,transit3_16
c16t3bw,boat,ChesapeakeBay,three,bilgewater,nonfilter,Baltimore,Lookdown,NA,transit3_16
c16t3hull,boat,ChesapeakeBay,three,hull,nonfilter,Baltimore,Lookdown,NA,transit3_16
c16t3post,openwater,ChesapeakeBay,three,nonswab,post,Baltimore,Lookdown,NA,transit3_16
c16t3pre,openwater,ChesapeakeBay,three,nonswab,pre,Baltimore,Lookdown,NA,transit3_16
c16t3rear,boat,ChesapeakeBay,three,rear,nonfilter,Baltimore,Lookdown,NA,transit3_16
c17t1bf,boat,ChesapeakeBay,one,bilgebiofilm,nonfilter,Baltimore,Callinectes,NA,transit1_17
c17t1bw,boat,ChesapeakeBay,one,bilgewater,nonfilter,Baltimore,Callinectes,NA,transit1_17
c17t1hull,boat,ChesapeakeBay,one,hull,nonfilter,Baltimore,Callinectes,NA,transit1_17
c17t1post,openwater,ChesapeakeBay,one,nonswab,post,Baltimore,Callinectes,NA,transit1_17
c17t1pre,openwater,ChesapeakeBay,one,nonswab,pre,Baltimore,Callinectes,NA,transit1_17
c17t1rear,boat,ChesapeakeBay,one,rear,nonfilter,Baltimore,Callinectes,NA,transit1_17
c17t2bf,boat,ChesapeakeBay,two,bilgebiofilm,nonfilter,Norfolk,Callinectes,NA,transit2_7
c17t2bw,boat,ChesapeakeBay,two,bilgewater,nonfilter,Norfolk,Callinectes,NA,transit2_7
c17t2post,openwater,ChesapeakeBay,two,nonswab,post,Norfolk,Callinectes,NA,transit2_7
c17t2pre,openwater,ChesapeakeBay,two,nonswab,pre,Norfolk,Callinectes,NA,transit2_7
c17t2rear,boat,ChesapeakeBay,two,rear,nonfilter,Norfolk,Callinectes,NA,transit2_7
c17t3bf,boat,ChesapeakeBay,three,bilgebiofilm,nonfilter,Baltimore,Lookdown,NA,transit3_17
c17t3bw,boat,ChesapeakeBay,three,bilgewater,nonfilter,Baltimore,Lookdown,NA,transit3_17
c17t3hull,boat,ChesapeakeBay,three,hull,nonfilter,Baltimore,Lookdown,NA,transit3_17
c17t3post,openwater,ChesapeakeBay,three,nonswab,post,Baltimore,Lookdown,NA,transit3_17
c17t3pre,openwater,ChesapeakeBay,three,nonswab,pre,Baltimore,Lookdown,NA,transit3_17
c17t3rear,boat,ChesapeakeBay,three,rear,nonfilter,Baltimore,Lookdown,NA,transit3_17
c17t4bf,boat,ChesapeakeBay,four,bilgebiofilm,nonfilter,Norfolk,Lookdown,NA,transit4_7
c17t4bw,boat,ChesapeakeBay,four,bilgewater,nonfilter,Norfolk,Lookdown,NA,transit4_7
c17t4hull,boat,ChesapeakeBay,four,hull,nonfilter,Norfolk,Lookdown,NA,transit4_7
c17t4post,openwater,ChesapeakeBay,four,nonswab,post,Norfolk,Lookdown,NA,transit4_7
c17t4pre,openwater,ChesapeakeBay,four,nonswab,pre,Norfolk,Lookdown,NA,transit4_7
c17t4rear,boat,ChesapeakeBay,four,rear,nonfilter,Norfolk,Lookdown,NA,transit4_7
c18t1bf,boat,ChesapeakeBay,one,bilgebiofilm,nonfilter,Baltimore,Callinectes,NA,transit1_18
c18t1bw,boat,ChesapeakeBay,one,bilgewater,nonfilter,Baltimore,Callinectes,NA,transit1_18
c18t1hull,boat,ChesapeakeBay,one,hull,nonfilter,Baltimore,Callinectes,NA,transit1_18
c18t1post,openwater,ChesapeakeBay,one,nonswab,post,Baltimore,Callinectes,NA,transit1_18
c18t1pre,openwater,ChesapeakeBay,one,nonswab,pre,Baltimore,Callinectes,NA,transit1_18
c18t1rear,boat,ChesapeakeBay,one,rear,nonfilter,Baltimore,Callinectes,NA,transit1_18
c18t3bf,boat,ChesapeakeBay,three,bilgebiofilm,nonfilter,Baltimore,Lookdown,NA,transit3_18
